Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
,,,,,,,
5000,Access Control,,,,,,
,,,,,,,
5100,Management Server,,,,,,
5110,Server Type 1 - Dell R250,,Qty,0,"R111,205.00","R1,000.00",R0.00
,,,,,,,
5200,Licencing,,,,,,
5210,System Licence - Type 1 Command Centre License	C210311,,Qty,0,"R5,290.00",R0.00,R0.00
5215,System Licence - Type 2 Gallagher Workstation Licence 	2A8067,,Qty,0,"R9,660.00",R0.00,R0.00
5220,System Licence - Type 3 Milestone VMS Integration         C12730,,Qty,0,"R50,953.05",R0.00,R0.00
5225,System Licence - Type 4 SIP Intercom Integration         C12891,,Qty,0,"R12,824.80",R0.00,R0.00
5230,System Licence - Type 5 Gallagher Door Lic        2A8943,,Qty,0,"R1,000.50",R0.00,R0.00
5235,System Licence - Type 6 Mobile Application        2A8559,,Qty,0,"R3,622.50",R0.00,R0.00
5240,System Licence - Type 7 SIP Device        C12903,,Qty,0,R854.45,R0.00,R0.00
5245,System Licence - Type 8 Cardholder Sync,,Qty,0,"R49,220.00",R0.00,R0.00
5250,System Licence - Type 9 Event Sync,,Qty,0,"R49,220.00",,
5255,System Licence - Type 10 IDEMIA Biometric Integration,C860361,Qty,0,"R31,038.50",R0.00,R0.00
5260,System Licence - Type 11 IDEMIA+ 20K users license,C864665,Qty,0,"R10,695.00",R0.00,R0.00
,,,,,,,
5300,Access Field Devices,,,,,,
5310,Access Control Reader - Type 1        Visionpass SP,C864660,Qty,0,"R25,300.00",R625.00,R0.00
,,,,,,,
5400,Access Controller,,,,,,
5410,Access Controller - OSDP 8 Port HUB,C300488,Qty,0,"R7,848.75",R375.00,R0.00
5420,Access Controller - Type 2 Controller 7000,,Qty,0,"R14,835.00",R500.00,R0.00
,GBUS I/O modules ,C300680,Qty,0,"R6,440.00",R500.00,R0.00
,,,,,,,
5500,Vehicle and Pedestrian Barriers,,,,,,
5510,Barrier - Type 1 Automatic Vehicle Barrier	Turnstar Velocity ,,Qty,0,"R20,976.00","R4,000.00",R0.00
5520,Barrier - Radar Sensor - Automatic Barrier	Turnstar ,,Qty,0,"R4,370.00",R525.00,R0.00
5530,LED Indicator accessory - SBL106TUR Indicator Devices 	Turnstar ,,Qty,0,"R1,955.00",R250.00,R0.00
5540,Speedlane - Type 1,,Qty,0,"R71,300.00","R3,125.00",R0.00
,,,,,,,
5600,Communication,,,,,,
5610,Intercom - Zentel TCIV-2+ <--- pricing as per Antons request,,Qty,0,"R14,375.00",R500.00,R0.00
5620,Intercom Video Handset - ITSV-4 <--- pricing as per Antons request,,Qty,0,"R19,368.30",R375.00,R0.00
5630,Intercom - Grandstream,,Qty,0,"R5,000.00",R500.00,R0.00
,,,,,,,
5700,Door Furniture,,,,,,
5710,Lock - Type 1 - Magnetic Lock,,Qty,0,"R1,729.60",R375.00,R0.00
5720,Door Contact - Type 1 - Door Monitor,,Qty,0,R299.00,R350.00,R0.00
5730,Break Glass Unit - Type 1 ,,Qty,0,R218.50,R325.00,R0.00
5740,No Touch Exit Button ,,Qty,0,R287.50,R250.00,R0.00
,,,,,,,
5800,Access Control Power Supply,,,,,,
5810,ACS Door PSU single door. Alternative option: Large ACS PSU per ICT field cabinet,,Qty,0,R575.00,R300.00,R0.00
,,,,,,,
,,,,,,,
,,,,,,,R0.00
